,Standard deviation,Median,Mean,Min,Max
Aggregated jumps,317.3313,69,185.381,8,1313
Aggregated empty jumps,1.7226,6,6.5556,5,9
Number of megalomania severities,4.3279,2,3.3077,1,17
Sum of megalomania severities,4.8754,2,3.5385,1,19
Average of megalomania severities,0.0741,1,1.0283,1,1.25
Aggregated inconsistency score,317.539,75,191.6366,14,1321
X1st vc number of jumps,42.2456,9,22.0909,1,147
X1st vc sum of jumps,5863.9918,24,1844.9091,1,19521
X1st vc avg of jumps,38.6533,4,16.8767,1,132.7959
X2nd vc number of jumps,41.7757,3.5,19.5,1,177
X2nd vc sum of jumps,1094.2217,18,361.6667,2,4599
X2nd vc avg of jumps,94.0672,4.5833,27.767,1.5,404
X3rd vc number of jumps,22.7409,12,21.9524,1,77
X3rd vc sum of jumps,38770.6516,40,8718.4286,3,177905
X3rd vc avg of jumps,1076.3571,3.3333,244.7548,2,4941.8056
X4th vc number of jumps,132.7149,24,85.3636,1,455
X4th vc sum of jumps,1512278.5648,4410,555866.0909,2,5069323
X4th vc avg of jumps,4030.5535,136.474,2294.7769,1.375,11141.3692
Suffix number of jumps,0.9574,1.5,1.75,1,3
