Project name,Source type,Language,Development toolset,Team size,Age,Source,Link,Application type,Application size,Operating system,Number of versions,1st vc increments,2nd vc increments,3rd vc increments,4th vc increments,Suffix number increments,1st vc number of jumps,1st vc sum of jumps,1st vc avg of jumps,2nd vc number of jumps,2nd vc sum of jumps,2nd vc avg of jumps,3rd vc number of jumps,3rd vc sum of jumps,3rd vc avg of jumps,4th vc number of jumps,4th vc sum of jumps,4th vc avg of jumps,Suffix number of jumps,Suffix sum of jumps,Suffix avg of jumps,1st vc number of empty jumps,1st vc sum of empty jumps,1st vc avg of empty jumps,2nd vc number of empty jumps,2nd vc sum of empty jumps,2nd vc avg of empty jumps,3rd vc number of empty jumps,3rd vc sum of empty jumps,3rd vc avg of empty jumps,4th vc number of empty jumps,4th vc sum of empty jumps,4th vc avg of empty jumps,Suffix number of empty jumps,Suffix sum of empty jumps,Suffix avg of empty jumps,1st vc avg cycle length,2nd vc avg cycle length,3rd vc avg cycle length,4th vc avg cycle length,Suffix number avg cycle length,Number of megalomania severities,Sum of megalomania severities,Average of megalomania severities,Aggregated increments,Aggregated jumps,Aggregated empty jumps,Aggregated cycle length,Aggregated inconsistency score
air,Proprietary,C,--,--,6.3,archive,http://helpx.adobe.com/air/kb/archived-air-sdk-version.html,Multimedia,244,Windows,24,3,11,1,1,0,2,14.0,7.0,1,5.0,5.0,2,4.0,2.0,13,18495.0,1422.6923076923076,0,0.0,0,0,0.0,0,0,0.0,0,4,5.0,2.5,3,7.0,3.6666666666666665,0,0.0,0,3.4285714285714284,1.411764705882353,2.1818181818181817,1.0,4.0,1.0,1.0,1.0,16.0,28.0,9.0,2.4044308632543925,38.0
nvidiadriver,Proprietary,C,--,--,3,archive,http://www.nvidia.com/object/linux-amd64-display-archive.html,Firmware,74,Linux,186,0,4,0,0,0,147,19521.0,132.79591836734693,177,4599.0,25.983050847457626,20,242.0,12.1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,38,5.0,2.5,0,0.0,0,0,0.0,0,1.2567567567567568,1.021978021978022,1.0,1.0,8.454545454545455,0.0,0.0,0,4.0,815.0,5.0,2.5466560466560466,820.0
clover,Proprietary,Java,--,--,6.9,"archive,documentation,release_notes","https://www.atlassian.com/software/clover/download-archives,https://confluence.atlassian.com/display/ALLDOC/Clover+Documentation+Directory, https://confluence.atlassian.com/display/CLOVER/Clover+Release+Notes",DevTool,59,Multiplatform,71,3,10,22,0,5,0,0.0,0,1,2.0,2.0,6,28.0,4.666666666666667,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,23,5.0,2.4782608695652173,0,0.0,0,0,0.0,0,3.380952380952381,2.9583333333333335,1.1833333333333333,1.0,2.3666666666666667,1.0,1.0,1.0,40.0,15.0,5.0,2.1778571428571434,21.0
clover,Proprietary,Java,--,--,6.9,archive,"https://www.atlassian.com/software/clover/download-archives,https://confluence.atlassian.com/display/ALLDOC/Clover+Documentation+Directory, https://confluence.atlassian.com/display/CLOVER/Clover+Release+Notes",DevTool,59,Multiplatform,56,2,10,22,0,5,0,0.0,0,1,2.0,2.0,7,21.0,3.0,0,0.0,0,1,1.0,1.0,0,0.0,0,0,0.0,0,2,7.0,3.5,0,0.0,0,0,0.0,0,3.2941176470588234,2.8,1.2444444444444445,1.0,2.3333333333333335,1.0,1.0,1.0,39.0,17.0,7.0,2.1343790849673203,25.0
clover,Proprietary,Java,--,--,6.9,archive_eclipse,"https://www.atlassian.com/software/clover/download-archives,https://confluence.atlassian.com/display/ALLDOC/Clover+Documentation+Directory, https://confluence.atlassian.com/display/CLOVER/Clover+Release+Notes",DevTool,59,Multiplatform,37,2,9,18,0,1,0,0.0,0,0,0.0,0,6,10.0,1.6666666666666667,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3.0833333333333335,2.8461538461538463,1.088235294117647,1.0,2.642857142857143,1.0,1.0,1.0,30.0,12.0,0.0,2.132115923292394,13.0
clover,Proprietary,Java,--,--,6.9,documentation,"https://www.atlassian.com/software/clover/download-archives,https://confluence.atlassian.com/display/ALLDOC/Clover+Documentation+Directory, https://confluence.atlassian.com/display/CLOVER/Clover+Release+Notes",DevTool,59,Multiplatform,12,3,7,0,0,0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0,10.0,1.0,0.0,1.8,1.0
clover,Proprietary,Java,--,--,6.9,release_notes,"https://www.atlassian.com/software/clover/download-archives,https://confluence.atlassian.com/display/ALLDOC/Clover+Documentation+Directory, https://confluence.atlassian.com/display/CLOVER/Clover+Release+Notes",DevTool,59,Multiplatform,12,2,9,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0,11.0,0.0,0.0,2.2,0.0
bamboo,Proprietary,Java,--,--,7.6,"archive,documentation,release_notes","https://www.atlassian.com/software/bamboo/download-archives,https://confluence.atlassian.com/display/ALLDOC/Bamboo+Documentation+Directory,https://confluence.atlassian.com/display/BAMBOO/Older+releases",DevTool,166.1,Windows,122,5,23,55,0,3,0,0.0,0,0,0.0,0,4,10.0,2.5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,53,5.0,2.509433962264151,0,0.0,0,0,0.0,0,3.935483870967742,3.588235294117647,1.0,1.0,3.2972972972972974,4.0,4.0,1.0,86.0,8.0,5.0,2.564203292476537,14.0
bamboo,Proprietary,Java,--,--,7.6,archive,"https://www.atlassian.com/software/bamboo/download-archives,https://confluence.atlassian.com/display/ALLDOC/Bamboo+Documentation+Directory,https://confluence.atlassian.com/display/BAMBOO/Older+releases",DevTool,166.1,Windows,116,8,26,49,0,3,3,9.0,3.0,8,27.0,3.375,12,27.0,2.25,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,42,5.0,2.5238095238095237,0,0.0,0,0,0.0,0,3.135135135135135,2.6363636363636362,1.008695652173913,1.0,2.9743589743589745,5.0,6.0,1.2,86.0,60.0,5.0,2.1509106796063318,66.2
bamboo,Proprietary,Java,--,--,7.6,documentation,"https://www.atlassian.com/software/bamboo/download-archives,https://confluence.atlassian.com/display/ALLDOC/Bamboo+Documentation+Directory,https://confluence.atlassian.com/display/BAMBOO/Older+releases",DevTool,166.1,Windows,27,4,21,0,0,0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5.4,1.0,1.0,1.0,5.4,0.0,0.0,0,25.0,1.0,0.0,2.7600000000000002,1.0
bamboo,Proprietary,Java,--,--,7.6,release_notes,"https://www.atlassian.com/software/bamboo/download-archives,https://confluence.atlassian.com/display/ALLDOC/Bamboo+Documentation+Directory,https://confluence.atlassian.com/display/BAMBOO/Older+releases",DevTool,166.1,Windows,29,4,18,0,0,0,0,0.0,0,4,8.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4.833333333333333,1.0357142857142858,1.0,1.0,4.833333333333333,0.0,0.0,0,22.0,4.0,0.0,2.5404761904761903,4.0
crucible,Proprietary,Java,--,--,7.2,"archive,documentation,release_notes","https://www.atlassian.com/software/crucible/download-archives,https://confluence.atlassian.com/display/ALLDOC/Crucible+Documentation+Directory,https://confluence.atlassian.com/display/CRUCIBLE/Older+release+notes",DevTool,157.4,Windows,163,2,16,103,0,3,0,0.0,0,3,14.0,4.666666666666667,6,20.0,3.3333333333333335,0,0.0,0,2,2.0,1.0,0,0.0,0,0,0.0,0,41,5.0,2.5121951219512195,2,7.0,3.5,0,0.0,0,5.620689655172414,5.620689655172414,1.044871794871795,1.0,4.2894736842105265,2.0,2.0,1.0,124.0,21.0,9.0,3.51514495788543,31.0
crucible,Proprietary,Java,--,--,7.2,archive,"https://www.atlassian.com/software/crucible/download-archives,https://confluence.atlassian.com/display/ALLDOC/Crucible+Documentation+Directory,https://confluence.atlassian.com/display/CRUCIBLE/Older+release+notes",DevTool,157.4,Windows,148,5,32,78,0,3,3,6.0,2.0,15,78.0,5.2,28,122.0,4.357142857142857,0,0.0,0,1,1.0,1.0,0,0.0,0,0,0.0,0,7,5.0,2.5714285714285716,2,7.0,3.5,0,0.0,0,3.8947368421052633,2.5964912280701755,1.0802919708029197,1.0,3.6097560975609757,5.0,5.0,1.0,118.0,113.0,9.0,2.436255227707867,123.0
crucible,Proprietary,Java,--,--,7.2,documentation,"https://www.atlassian.com/software/crucible/download-archives,https://confluence.atlassian.com/display/ALLDOC/Crucible+Documentation+Directory,https://confluence.atlassian.com/display/CRUCIBLE/Older+release+notes",DevTool,157.4,Windows,22,2,17,0,0,0,0,0.0,0,2,4.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5.5,1.0,1.0,1.0,5.5,0.0,0.0,0,19.0,2.0,0.0,2.8,2.0
crucible,Proprietary,Java,--,--,7.2,release_notes,"https://www.atlassian.com/software/crucible/download-archives,https://confluence.atlassian.com/display/ALLDOC/Crucible+Documentation+Directory,https://confluence.atlassian.com/display/CRUCIBLE/Older+release+notes",DevTool,157.4,Windows,21,2,16,0,0,0,0,0.0,0,2,4.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5.25,1.0,1.0,1.0,5.25,0.0,0.0,0,18.0,2.0,0.0,2.7,2.0
fisheye,Proprietary,Java,--,--,8.8,"archive,documentation,release_notes","https://www.atlassian.com/software/fisheye/download-archives,https://confluence.atlassian.com/display/ALLDOC/FishEye+Documentation+Directory,https://confluence.atlassian.com/display/FISHEYE/Older+release+notes",DevTool,157.4,Windows,157,2,19,97,0,1,0,0.0,0,2,11.0,5.5,9,28.0,3.111111111111111,0,0.0,0,1,1.0,1.0,0,0.0,0,0,0.0,0,42,5.0,2.5,0,0.0,0,0,0.0,0,5.607142857142857,5.413793103448276,1.0194805194805194,1.0,4.757575757575758,2.0,2.0,1.0,119.0,24.0,5.0,3.5595984475294813,30.0
fisheye,Proprietary,Java,--,--,8.8,archive,"https://www.atlassian.com/software/fisheye/download-archives,https://confluence.atlassian.com/display/ALLDOC/FishEye+Documentation+Directory,https://confluence.atlassian.com/display/FISHEYE/Older+release+notes",DevTool,157.4,Windows,140,5,35,74,0,1,3,6.0,2.0,14,75.0,5.357142857142857,32,133.0,4.15625,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,5.0,2.5,0,0.0,0,0,0.0,0,3.888888888888889,2.413793103448276,1.044776119402985,1.0,3.888888888888889,4.0,4.0,1.0,115.0,118.0,5.0,2.4472694001258075,124.0
